longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-122.49,37.76,52.0,1792.0,305.0,782.0,287.0,40391.0,332700.0,NEAR BAY
-119.64,34.43,32.0,1872.0,318.0,749.0,296.0,46250.0,500001.0,<1H OCEAN
-121.25,38.71,14.0,3713.0,637.0,1845.0,635.0,43009.00000000001,143400.0,INLAND
-122.02,36.98,21.0,607.0,155.0,226.0,136.0,19063.0,166700.0,NEAR OCEAN
-117.15,32.72,52.0,344.0,177.0,460.0,147.0,12292.0,137500.0,NEAR OCEAN
-122.11,38.0,9.0,3424.0,583.0,1460.0,543.0,57600.0,212600.0,NEAR BAY
-118.31,33.97,47.0,2066.0,422.0,1156.0,380.0,27917.0,125800.0,<1H OCEAN
-119.69,36.73,30.0,2437.0,349.0,1005.0,380.0,72211.0,171700.0,INLAND
-122.58,38.43,10.0,3597.0,661.0,1132.0,639.0,39375.0,269200.0,<1H OCEAN
-117.82,33.75,30.0,2910.0,535.0,1270.0,489.0,46161.0,236500.0,<1H OCEAN
-117.04,33.01,28.0,922.0,107.0,314.0,97.0,84721.0,342300.0,<1H OCEAN
-122.07,37.96,34.0,1692.0,290.0,836.0,289.0,50172.0,197100.0,NEAR BAY
-122.21,37.48,37.0,1326.0,335.0,1771.0,335.0,30147.0,218100.0,NEAR BAY
-121.91,37.33,52.0,2562.0,410.0,973.0,398.0,48854.0,330600.0,<1H OCEAN
-118.29,33.96,32.0,3508.0,917.0,2794.0,839.0,15540.0,100000.0,<1H OCEAN
-122.23,37.79,40.0,930.0,199.0,564.0,184.0,13281.0,113300.0,NEAR BAY
-118.84,34.21,16.0,4975.0,949.0,2537.0,971.0,52361.00000000001,224700.0,<1H OCEAN
-117.13,32.81,19.0,2157.0,554.0,1349.0,535.0,27652.0,177400.0,NEAR OCEAN
-118.2,34.02,49.0,1098.0,317.0,1411.0,301.0,27500.0,146000.0,<1H OCEAN
-118.31,34.09,42.0,1951.0,846.0,2500.0,813.0,15195.0,218200.0,<1H OCEAN
-121.26,37.96,43.0,527.0,133.0,367.0,152.0,25000.0,63600.0,INLAND
-117.32,34.08,46.0,1308.0,276.0,576.0,244.0,31875.0,84000.0,INLAND
-122.31,37.52,35.0,1817.0,262.0,659.0,262.0,68336.0,457200.0,NEAR OCEAN
-117.38,33.96,30.0,3153.0,623.0,1544.0,575.0,34491.0,133800.0,INLAND
-122.28,37.86,49.0,2932.0,668.0,1361.0,608.0,19798.0,147400.0,NEAR BAY
-121.92,37.32,31.0,1902.0,554.0,1485.0,494.0,24207.0,165600.0,<1H OCEAN
-117.16,32.89,5.0,8576.0,1952.0,5006.0,1827.0,43598.0,189100.0,<1H OCEAN
-118.27,34.06,45.0,564.0,353.0,1172.0,319.0,14940.0,187500.0,<1H OCEAN
-122.25,37.8,52.0,2087.0,510.0,1197.0,488.0,30149.0,218400.0,NEAR BAY
-118.31,33.83,50.0,696.0,311.0,382.0,234.0,27750.0,225000.0,<1H OCEAN
-122.35,40.56,16.0,2801.0,614.0,1695.0,563.0,19000.0,81600.0,INLAND
-119.21,37.25,44.0,3042.0,697.0,335.0,115.0,41838.0,85600.0,INLAND
-117.94,33.75,30.0,5268.0,1093.0,4480.0,1050.0,40150.0,186700.0,<1H OCEAN
-118.15,33.78,13.0,3056.0,861.0,1600.0,824.0,33003.0,207800.0,NEAR OCEAN
-117.07,32.64,32.0,5135.0,1025.0,2152.0,944.0,41325.0,172800.0,NEAR OCEAN
-117.88,34.13,25.0,2559.0,654.0,1674.0,623.0,28546.999999999996,155600.0,<1H OCEAN
-121.04,39.19,17.0,856.0,167.0,518.0,170.0,35859.0,144300.0,INLAND
-122.55,37.98,31.0,3807.0,828.0,1581.0,795.0,32930.0,337500.0,NEAR BAY
-121.96,37.28,28.0,5018.0,1066.0,2846.0,998.0,40174.0,273900.0,<1H OCEAN
-120.84,35.37,34.0,3279.0,714.0,1397.0,646.0,25552.0,200000.0,NEAR OCEAN
-117.14,34.75,33.0,552.0,120.0,347.0,97.0,18158.0,100000.0,INLAND
-118.29,33.84,33.0,896.0,208.0,843.0,200.0,35000.0,183000.0,<1H OCEAN
-122.55,37.79,32.0,2131.0,625.0,1229.0,572.0,29201.0,322200.0,NEAR OCEAN
-121.85,39.74,41.0,2901.0,689.0,1426.0,632.0,15633.0,84500.0,INLAND
-121.25,37.97,34.0,1288.0,344.0,846.0,293.0,17895.0,63100.0,INLAND
-122.11,37.71,36.0,4569.0,824.0,1950.0,819.0,46500.0,206800.0,NEAR BAY
-118.61,34.16,29.0,4364.0,647.0,1550.0,624.0,68107.0,367400.0,<1H OCEAN
-122.36,40.55,21.0,2500.0,466.0,1428.0,502.0,26513.0,113300.0,INLAND
-117.89,33.87,25.0,1492.0,439.0,755.0,389.0,30893.0,188200.0,<1H OCEAN
-122.69,38.3,30.0,3919.0,743.0,1693.0,693.0,33827.0,292100.0,<1H OCEAN
-118.04,33.83,20.0,1488.0,312.0,972.0,283.0,40550.0,201900.0,<1H OCEAN
-121.01,37.64,33.0,693.0,207.0,598.0,192.0,10217.0,81300.0,INLAND
-117.2,33.38,14.0,5392.0,821.0,2350.0,810.0,50507.0,291500.0,<1H OCEAN
-117.77,33.69,15.0,500.0,113.0,261.0,116.0,50631.00000000001,154000.0,<1H OCEAN
-116.68,33.16,26.0,1820.0,374.0,1001.0,324.0,21797.0,156300.0,INLAND
-121.85,37.22,21.0,6203.0,798.0,2494.0,800.0,77201.0,362700.0,<1H OCEAN
-119.82,36.78,36.0,1582.0,313.0,761.0,318.0,26055.0,69200.0,INLAND
-117.83,33.93,14.0,1956.0,282.0,671.0,269.0,65841.0,306400.0,<1H OCEAN
-122.94,38.53,49.0,1141.0,239.0,505.0,184.0,37143.0,148800.0,<1H OCEAN
-117.13,32.71,38.0,993.0,246.0,760.0,205.0,11563.000000000002,82700.0,NEAR OCEAN
-122.39,37.59,32.0,4497.0,,1846.0,715.0,61323.0,500001.0,NEAR OCEAN
-118.19,34.06,47.0,2324.0,658.0,3020.0,594.0,11868.0,93800.0,<1H OCEAN
-117.69,33.47,23.0,3499.0,722.0,1480.0,634.0,38600.0,300000.0,<1H OCEAN
-118.15,33.93,34.0,1745.0,404.0,1084.0,410.0,33411.0,220500.0,<1H OCEAN
-122.9,41.46,31.0,1277.0,263.0,600.0,241.0,17292.0,61700.0,INLAND
-118.15,33.98,37.0,1184.0,290.0,1320.0,276.0,23000.0,165600.0,<1H OCEAN
-121.05,37.93,17.0,2474.0,480.0,1649.0,453.0,32750.0,156500.0,INLAND
-121.27,37.97,39.0,1023.0,243.0,550.0,224.0,11141.0,54400.0,INLAND
-118.36,34.1,37.0,7097.0,2010.0,2913.0,1939.0,28750.0,300000.0,<1H OCEAN
-121.58,37.01,15.0,2873.0,547.0,1582.0,567.0,51519.00000000001,264700.0,INLAND
-117.92,33.82,36.0,2360.0,405.0,1479.0,386.0,43583.0,187200.0,<1H OCEAN
-119.29,34.23,22.0,2486.0,608.0,709.0,523.0,29018.0,275000.0,NEAR OCEAN
-119.44,36.6,5.0,2353.0,608.0,2505.0,573.0,22863.000000000004,69200.0,INLAND
-118.18,33.77,29.0,1776.0,606.0,1391.0,488.0,11295.0,137500.0,NEAR OCEAN
-121.92,36.62,52.0,867.0,199.0,391.0,187.0,26713.0,234600.0,NEAR OCEAN
-119.8,36.72,43.0,1286.0,360.0,972.0,345.0,9513.0,50400.0,INLAND
-118.32,34.1,28.0,1759.0,716.0,1463.0,620.0,17306.0,450000.0,<1H OCEAN
-122.29,37.51,35.0,3040.0,520.0,1374.0,518.0,61003.99999999999,426400.0,NEAR OCEAN
-117.76,34.04,36.0,2242.0,448.0,2052.0,447.0,34464.0,113000.0,INLAND
-117.95,33.92,18.0,2825.0,660.0,1590.0,643.0,36106.0,153600.0,<1H OCEAN
-121.55,39.44,31.0,1434.0,283.0,811.0,289.0,17727.0,49000.0,INLAND
-118.42,34.26,26.0,1788.0,521.0,2582.0,484.0,21062.0,136400.0,<1H OCEAN
-118.92,36.04,28.0,1148.0,233.0,521.0,212.0,29208.0,98500.0,INLAND
-122.3,37.81,48.0,828.0,182.0,392.0,133.0,25938.0,73500.0,NEAR BAY
-122.44,37.79,52.0,2045.0,353.0,722.0,327.0,80755.0,500001.0,NEAR BAY
-122.58,38.38,27.0,3800.0,728.0,1587.0,605.0,47237.0,306600.0,<1H OCEAN
-117.57,34.02,5.0,6933.0,1311.0,3845.0,1285.0,46727.0,158900.0,INLAND
-119.1,34.31,21.0,2424.0,527.0,1379.0,484.0,26786.0,184000.0,<1H OCEAN
-118.15,34.14,27.0,1499.0,426.0,755.0,414.0,38750.0,258300.0,<1H OCEAN
-122.35,37.58,30.0,5039.0,1564.0,2129.0,1536.0,33469.0,345000.0,NEAR OCEAN
-118.47,34.14,34.0,3646.0,610.0,1390.0,607.0,76290.0,500001.0,<1H OCEAN
-121.5,38.58,20.0,4018.0,1220.0,1570.0,1122.0,25821.0,125000.0,INLAND
-122.42,37.62,43.0,2367.0,409.0,1141.0,400.0,48295.0,319000.0,NEAR OCEAN
-118.2,33.87,42.0,1482.0,310.0,1052.0,317.0,39469.0,158200.0,<1H OCEAN
-122.44,37.72,52.0,1380.0,272.0,847.0,284.0,37143.0,260000.0,NEAR BAY
-118.29,33.94,34.0,1089.0,278.0,995.0,315.0,23352.0,107700.0,<1H OCEAN
-120.2,39.33,26.0,1988.0,379.0,905.0,321.0,37841.0,109500.0,INLAND
-118.51,34.28,34.0,3580.0,565.0,1694.0,524.0,54065.0,243800.0,<1H OCEAN
-118.26,34.07,46.0,2341.0,703.0,2371.0,648.0,24038.0,181700.0,<1H OCEAN
-120.25,37.23,34.0,1656.0,328.0,1110.0,332.0,21845.0,59900.0,INLAND
-117.27,33.55,4.0,6112.0,890.0,2088.0,712.0,55351.0,429000.0,<1H OCEAN
-122.06,37.95,36.0,2213.0,386.0,950.0,370.0,47386.0,186400.0,NEAR BAY
-118.43,34.15,26.0,2900.0,667.0,1090.0,590.0,37125.0,447400.0,<1H OCEAN
-121.18,38.67,42.0,2101.0,480.0,945.0,426.0,23333.0,116000.0,INLAND
-120.65,36.98,26.0,1787.0,364.0,1548.0,362.0,17188.0,49500.0,INLAND
-118.13,33.81,36.0,1749.0,322.0,855.0,319.0,46473.00000000001,227100.0,<1H OCEAN
-118.07,33.91,29.0,2387.0,570.0,1978.0,548.0,31957.0,159200.0,<1H OCEAN
-121.07,39.09,17.0,1878.0,345.0,892.0,299.0,28864.0,143100.0,INLAND
-118.19,34.12,41.0,2591.0,682.0,2366.0,583.0,23071.0,146400.0,<1H OCEAN
-122.09,37.63,35.0,1213.0,221.0,790.0,243.0,47019.0,174100.0,NEAR BAY
-118.07,33.72,24.0,1240.0,296.0,513.0,254.0,49044.0,485000.0,NEAR OCEAN
-117.95,35.13,4.0,2630.0,502.0,1150.0,422.0,42500.0,104400.0,INLAND
-118.16,34.16,44.0,1284.0,278.0,925.0,261.0,17321.0,178400.0,<1H OCEAN
-117.84,33.89,24.0,3935.0,625.0,1912.0,593.0,57951.0,226900.0,<1H OCEAN
-118.2,33.77,52.0,1375.0,457.0,1089.0,317.0,22344.0,200000.0,NEAR OCEAN
-122.06,37.68,30.0,5367.0,1207.0,2667.0,1047.0,31796.000000000004,170300.0,NEAR BAY
-118.09,34.63,31.0,1537.0,416.0,1239.0,397.0,19722.0,99200.0,INLAND
-117.74,33.97,4.0,9755.0,1748.0,4662.0,1583.0,56501.0,254900.0,<1H OCEAN
-121.11,39.09,16.0,1000.0,197.0,508.0,190.0,23062.0,138800.0,INLAND
-117.77,33.72,10.0,2815.0,431.0,1181.0,398.0,65743.0,278700.0,<1H OCEAN
-121.59,39.14,41.0,1492.0,350.0,804.0,353.0,16840.0,71300.0,INLAND
-117.79,33.88,17.0,8562.0,1351.0,3822.0,1316.0,60829.00000000001,252600.0,<1H OCEAN
-122.05,37.55,23.0,4247.0,835.0,2357.0,823.0,51321.0,211300.0,NEAR BAY
-119.74,36.8,18.0,10862.0,2401.0,5466.0,2209.0,24678.0,74300.0,INLAND
-121.82,37.36,33.0,1624.0,337.0,1412.0,323.0,40385.0,167600.0,<1H OCEAN
-117.7,34.06,7.0,732.0,145.0,431.0,132.0,29107.0,95300.0,INLAND
-119.57,36.27,20.0,2673.0,452.0,1394.0,449.0,26250.0,97400.0,INLAND
-122.33,38.21,33.0,2017.0,370.0,949.0,342.0,46250.0,228600.0,NEAR BAY
-118.39,33.97,44.0,1097.0,186.0,513.0,185.0,62350.0,361400.0,<1H OCEAN
-117.05,32.57,13.0,2880.0,576.0,2450.0,567.0,31696.0,138000.0,NEAR OCEAN
-115.49,32.69,17.0,1960.0,389.0,1691.0,356.0,18990.0,64000.0,INLAND
-117.08,32.62,16.0,5192.0,1381.0,3261.0,1321.0,22685.0,151900.0,NEAR OCEAN
-118.0,33.71,19.0,4808.0,1029.0,2422.0,971.0,40121.0,279700.0,<1H OCEAN
-119.68,34.43,33.0,1961.0,462.0,1693.0,445.0,29895.999999999996,236000.0,<1H OCEAN
-116.9,33.22,11.0,4132.0,773.0,2012.0,703.0,31906.0,234500.0,<1H OCEAN
-116.95,33.97,14.0,5320.0,974.0,1947.0,843.0,31393.0,116300.0,INLAND
-119.85,36.84,12.0,2272.0,304.0,840.0,305.0,89669.00000000001,213900.0,INLAND
-121.55,39.5,26.0,3215.0,827.0,2041.0,737.0,10585.0,45100.0,INLAND
-121.42,38.64,44.0,1728.0,367.0,1042.0,349.0,16033.0,58500.0,INLAND
-121.73,36.93,29.0,2931.0,535.0,1954.0,506.0,32917.0,224700.0,<1H OCEAN
-120.44,34.94,29.0,1877.0,516.0,1634.0,492.0,16875.0,122700.0,<1H OCEAN
-122.27,37.79,27.0,1055.0,347.0,718.0,302.0,26354.000000000004,187500.0,NEAR BAY
-120.73,37.38,23.0,1451.0,292.0,1052.0,265.0,28698.0,72900.0,INLAND
-122.24,38.11,42.0,1743.0,388.0,889.0,341.0,23241.0,99200.0,NEAR BAY
-122.45,37.71,50.0,1441.0,283.0,1159.0,286.0,45416.99999999999,233700.0,NEAR OCEAN
-118.55,34.28,16.0,8879.0,,3468.0,1200.0,81125.0,428600.0,<1H OCEAN
-119.12,36.54,30.0,2747.0,515.0,1368.0,453.0,29828.0,85200.0,INLAND
-122.13,37.44,38.0,2835.0,447.0,1148.0,446.0,59277.0,446600.0,NEAR BAY
-117.35,33.16,22.0,1331.0,305.0,580.0,193.0,39750.0,500001.0,NEAR OCEAN
-121.85,39.75,39.0,568.0,127.0,267.0,129.0,18095.0,78100.0,INLAND
-120.37,36.15,34.0,2084.0,339.0,868.0,347.0,43810.0,86300.0,INLAND
-118.25,33.95,28.0,2136.0,,1799.0,476.0,15427.0,95700.0,<1H OCEAN
-119.2,34.25,25.0,195.0,59.0,140.0,43.0,38889.0,187500.0,NEAR OCEAN
-117.32,33.51,4.0,966.0,133.0,311.0,92.0,52066.0,500001.0,<1H OCEAN
-121.79,37.23,16.0,2240.0,300.0,1221.0,305.0,60198.0,289600.0,<1H OCEAN
-118.45,34.2,18.0,2729.0,800.0,2099.0,742.0,25842.0,230800.0,<1H OCEAN
-121.93,37.3,14.0,6277.0,1742.0,3025.0,1630.0,40653.0,234200.0,<1H OCEAN
-121.96,37.95,25.0,4026.0,791.0,1850.0,709.0,41483.0,181200.0,INLAND
-117.18,32.69,37.0,3112.0,716.0,1304.0,674.0,32121.0,320800.0,NEAR OCEAN
-118.25,33.79,38.0,1730.0,460.0,1724.0,424.0,27308.0,150400.0,NEAR OCEAN
-120.83,37.79,16.0,893.0,164.0,548.0,155.0,36875.0,121900.0,INLAND
-121.34,38.62,20.0,4021.0,864.0,1658.0,730.0,24537.0,153000.0,INLAND
-118.43,34.02,42.0,1528.0,244.0,634.0,242.0,81631.0,500001.0,<1H OCEAN
-118.38,34.04,45.0,767.0,130.0,254.0,118.0,62895.0,340400.0,<1H OCEAN
-122.25,37.8,43.0,2344.0,647.0,1710.0,644.0,16504.0,151800.0,NEAR BAY
-117.23,33.1,4.0,1862.0,291.0,685.0,248.0,77450.0,237400.0,NEAR OCEAN
-117.66,34.14,8.0,1692.0,253.0,857.0,251.0,69418.0,310500.0,INLAND
-121.77,37.22,16.0,1617.0,306.0,667.0,264.0,45221.0,191100.0,<1H OCEAN
-118.29,34.08,43.0,3056.0,1345.0,3920.0,1304.0,19250.0,300000.0,<1H OCEAN
-121.08,39.21,17.0,3033.0,590.0,1319.0,583.0,24811.0,111800.0,INLAND
-119.75,36.73,39.0,2290.0,539.0,1685.0,536.0,16325.0,52100.0,INLAND
-120.19,38.42,11.0,1568.0,369.0,82.0,33.0,31250.0,77500.0,INLAND
-121.88,37.33,45.0,1192.0,371.0,1084.0,345.0,28594.0,205900.0,<1H OCEAN
-122.45,37.71,34.0,3131.0,669.0,2204.0,600.0,35536.0,251000.0,NEAR OCEAN
-118.11,33.84,37.0,1588.0,272.0,692.0,245.0,48594.0,220300.0,<1H OCEAN
-117.96,33.65,24.0,4462.0,689.0,1943.0,712.0,57394.99999999999,289800.0,<1H OCEAN
-117.6,34.08,15.0,2700.0,460.0,1432.0,449.0,49063.0,159800.0,INLAND
-118.18,33.93,31.0,1516.0,400.0,1820.0,398.0,21641.0,122900.0,<1H OCEAN
-122.43,37.76,52.0,3771.0,1017.0,1575.0,921.0,35655.0,427300.0,NEAR BAY
-118.91,36.79,19.0,1616.0,324.0,187.0,80.0,37857.0,78600.0,INLAND
-120.85,37.78,30.0,1120.0,248.0,609.0,237.0,22386.0,87200.0,INLAND
-121.1,38.95,17.0,1475.0,403.0,943.0,363.0,21286.999999999996,55300.0,INLAND
-122.49,37.76,52.0,2245.0,425.0,1091.0,409.0,35909.0,331200.0,NEAR BAY
-122.47,37.75,46.0,3238.0,544.0,1293.0,470.0,61592.0,381700.0,NEAR BAY
-122.24,37.8,52.0,888.0,168.0,360.0,175.0,21944.0,211500.0,NEAR BAY
-118.45,34.2,27.0,1572.0,450.0,1039.0,455.0,25562.0,190500.0,<1H OCEAN
-122.34,37.56,39.0,3562.0,391.0,1139.0,391.0,126417.0,500001.0,NEAR OCEAN
-122.25,37.84,52.0,3104.0,687.0,1157.0,647.0,31200.0,241400.0,NEAR BAY
-121.18,38.73,16.0,1584.0,264.0,613.0,226.0,60302.0,273100.0,INLAND
-118.08,33.91,18.0,1573.0,396.0,1200.0,365.0,28950.0,146900.0,<1H OCEAN
-122.47,37.77,52.0,2241.0,443.0,1042.0,377.0,41635.0,398400.0,NEAR BAY
-117.96,34.07,32.0,2910.0,709.0,2583.0,670.0,37736.0,158400.0,<1H OCEAN
-118.39,34.03,25.0,3442.0,1050.0,1890.0,914.0,30574.0,319400.0,<1H OCEAN
-118.24,33.99,41.0,1425.0,372.0,1803.0,353.0,16731.0,88200.0,<1H OCEAN
-118.38,34.18,27.0,4834.0,1527.0,3847.0,1432.0,21448.999999999996,165300.0,<1H OCEAN
-121.94,38.27,35.0,10869.0,2226.0,9879.0,2152.0,25681.0,81300.0,INLAND
-118.19,33.93,44.0,1613.0,345.0,1227.0,342.0,31667.0,145700.0,<1H OCEAN
-119.16,34.28,11.0,5330.0,1056.0,2801.0,1028.0,47630.0,232700.0,NEAR OCEAN
-118.31,33.94,41.0,1353.0,286.0,751.0,250.0,27401.0,131700.0,<1H OCEAN
-118.31,33.9,38.0,1400.0,399.0,1131.0,405.0,35417.0,198400.0,<1H OCEAN
-118.05,33.98,41.0,1406.0,428.0,1174.0,390.0,20147.0,137500.0,<1H OCEAN
-116.22,34.21,23.0,1175.0,468.0,355.0,151.0,22083.0,42500.0,INLAND
-119.2,34.15,27.0,2076.0,681.0,1904.0,647.0,14773.0,160800.0,NEAR OCEAN
-117.86,33.87,12.0,1600.0,251.0,685.0,256.0,51784.0,254000.0,<1H OCEAN
-119.02,37.64,14.0,5919.0,1278.0,265.0,112.0,32431.0,221400.0,INLAND
-122.43,37.79,24.0,2459.0,1001.0,1362.0,957.0,26782.0,450000.0,NEAR BAY
-117.81,33.77,31.0,4624.0,624.0,1852.0,635.0,72392.0,334600.0,<1H OCEAN
-117.05,33.03,16.0,87.0,20.0,32.0,21.0,43571.0,144600.0,<1H OCEAN
-122.7,38.44,45.0,883.0,202.0,401.0,194.0,32845.0,178300.0,<1H OCEAN
-118.19,33.78,35.0,1511.0,593.0,914.0,539.0,9318.0,187500.0,NEAR OCEAN
-122.86,38.1,44.0,2602.0,509.0,691.0,343.0,43125.0,261500.0,NEAR OCEAN
-117.99,33.83,35.0,1484.0,252.0,916.0,248.0,52657.0,191400.0,<1H OCEAN
-118.77,34.28,27.0,1416.0,251.0,1024.0,268.0,51074.0,185200.0,<1H OCEAN
-121.15,38.69,52.0,240.0,44.0,6675.0,29.0,61359.0,225000.0,INLAND
-118.09,33.91,36.0,1442.0,271.0,990.0,268.0,40517.0,162200.0,<1H OCEAN
-122.02,37.58,15.0,3052.0,760.0,2097.0,728.0,33617.0,178100.0,NEAR BAY
-124.14,40.59,22.0,1665.0,405.0,826.0,382.0,15625.0,66800.0,NEAR OCEAN
-117.68,34.01,20.0,7326.0,1555.0,5718.0,1538.0,32073.0,123500.0,INLAND
-122.34,40.63,10.0,2183.0,369.0,1061.0,325.0,36853.0,151600.0,INLAND
-117.85,33.73,28.0,1499.0,574.0,3328.0,595.0,24539.0,115000.0,<1H OCEAN
-121.07,39.04,9.0,2374.0,372.0,884.0,333.0,45042.0,206400.0,INLAND
-122.29,37.91,40.0,2085.0,329.0,796.0,339.0,55357.0,273700.0,NEAR BAY
-122.21,37.47,33.0,1266.0,415.0,1991.0,334.0,29200.0,202800.0,NEAR OCEAN
-120.41,34.87,32.0,1997.0,317.0,866.0,281.0,50620.0,158900.0,<1H OCEAN
-118.1,34.14,26.0,6262.0,1645.0,3001.0,1505.0,36572.0,213200.0,<1H OCEAN
-118.41,33.75,4.0,311.0,51.0,128.0,46.0,98091.00000000001,500001.0,NEAR OCEAN
-116.39,33.69,10.0,11659.0,2007.0,2186.0,1083.0,69833.0,238800.0,INLAND
-117.63,33.47,4.0,1969.0,280.0,805.0,271.0,76012.0,310800.0,NEAR OCEAN
-122.25,37.77,43.0,4329.0,1110.0,2086.0,1053.0,29750.0,243400.0,NEAR BAY
-120.94,37.7,25.0,1005.0,159.0,390.0,139.0,44000.0,174100.0,INLAND
-118.24,33.98,45.0,173.0,42.0,230.0,57.0,30724.0,110700.0,<1H OCEAN
-118.32,33.99,48.0,1260.0,284.0,791.0,280.0,21875.0,115200.0,<1H OCEAN
-121.25,38.04,26.0,3080.0,473.0,1257.0,465.0,49861.00000000001,201800.0,INLAND
-121.32,38.56,18.0,1169.0,186.0,614.0,192.0,45766.0,108700.0,INLAND
-120.48,39.78,11.0,513.0,104.0,204.0,86.0,23750.0,100000.0,INLAND
-122.16,37.73,52.0,2260.0,416.0,994.0,412.0,41163.99999999999,198200.0,NEAR BAY
-122.14,37.69,37.0,2141.0,535.0,1093.0,555.0,29958.0,178400.0,NEAR BAY
-122.32,40.71,18.0,2879.0,578.0,1399.0,586.0,24036.0,105400.0,INLAND
-118.43,34.02,41.0,2403.0,516.0,1001.0,514.0,43906.0,500001.0,<1H OCEAN
-117.98,33.81,35.0,897.0,156.0,479.0,161.0,51520.0,215600.0,<1H OCEAN
-117.01,32.79,33.0,4015.0,663.0,1864.0,664.0,43152.0,159300.0,<1H OCEAN
-118.32,34.01,44.0,4032.0,913.0,1622.0,848.0,24934.0,165800.0,<1H OCEAN
-121.44,38.62,37.0,1607.0,385.0,972.0,354.0,19107.0,64700.0,INLAND
-121.28,38.71,35.0,3095.0,594.0,1550.0,576.0,35750.0,113500.0,INLAND
-122.21,37.79,34.0,2364.0,557.0,1517.0,516.0,28365.0,139200.0,NEAR BAY
-121.3,38.25,27.0,2475.0,548.0,1703.0,517.0,25727.000000000004,86100.0,INLAND
-120.08,34.64,18.0,2375.0,429.0,1048.0,369.0,42222.0,375000.0,NEAR OCEAN
-121.34,38.56,12.0,2975.0,628.0,1440.0,593.0,29895.999999999996,118600.0,INLAND
-117.95,33.87,34.0,1599.0,296.0,938.0,307.0,42850.0,184900.0,<1H OCEAN
-117.89,33.85,18.0,2036.0,414.0,1292.0,380.0,38750.0,273000.0,<1H OCEAN
-124.15,40.81,50.0,340.0,74.0,235.0,83.0,17500.0,67500.0,NEAR OCEAN
-120.43,34.98,21.0,2725.0,514.0,1466.0,488.0,36639.0,128600.0,<1H OCEAN
-117.84,33.64,11.0,6840.0,1689.0,6083.0,1629.0,24131.999999999996,198300.0,<1H OCEAN
-117.1,32.68,42.0,2013.0,568.0,1920.0,557.0,20724.0,107600.0,NEAR OCEAN
-118.3,33.91,34.0,1617.0,493.0,1530.0,500.0,26182.0,172600.0,<1H OCEAN
-116.98,32.72,4.0,1078.0,158.0,571.0,184.0,46666.99999999999,223300.0,<1H OCEAN
-117.03,34.03,26.0,3501.0,664.0,1860.0,681.0,30402.999999999996,113500.0,INLAND
-122.13,37.15,39.0,2854.0,613.0,1338.0,518.0,39423.0,180300.0,NEAR OCEAN
-122.93,40.78,20.0,3758.0,798.0,1685.0,757.0,23666.999999999996,91200.0,INLAND
